-> col = 0
decoded word = 192.0, channel = 3
decoded word = 203.0, channel = 4
decoded word = 137.0, channel = 6
decoded word = 4.0, channel = 9
decoded word = 255.0, channel = 10
decoded word = 32.0, channel = 11
decoded word = 98.0, channel = 13
decoded word = 158.0, channel = 14
decoded word = 101.0, channel = 17
decoded word = 133.0, channel = 18
decoded word = 28.0, channel = 20
decoded word = 59.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 86.0, channel = 29
decoded word = 94.0, channel = 30
-----
-> col = 1
decoded word = 49.0, channel = 0
decoded word = 132.0, channel = 1
decoded word = 85.0, channel = 2
decoded word = 146.0, channel = 3
decoded word = 77.0, channel = 4
decoded word = 232.0, channel = 6
decoded word = 33.0, channel = 8
decoded word = 255.0, channel = 10
decoded word = 37.0, channel = 11
decoded word = 55.0, channel = 12
decoded word = 182.0, channel = 13
decoded word = 86.0, channel = 17
decoded word = 3.0, channel = 18
decoded word = 20.0, channel = 21
decoded word = 133.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 24.0, channel = 29
decoded word = 135.0, channel = 30
-----
-> col = 2
decoded word = 32.0, channel = 0
decoded word = 73.0, channel = 1
decoded word = 48.0, channel = 2
decoded word = 130.0, channel = 3
decoded word = 88.0, channel = 4
decoded word = 181.0, channel = 6
decoded word = 16.0, channel = 8
decoded word = 255.0, channel = 10
decoded word = 31.0, channel = 12
decoded word = 186.0, channel = 13
decoded word = 85.0, channel = 14
decoded word = 105.0, channel = 17
decoded word = 69.0, channel = 18
decoded word = 7.0, channel = 21
decoded word = 150.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 49.0, channel = 29
decoded word = 127.0, channel = 30
-----
-> col = 3
decoded word = 55.0, channel = 0
decoded word = 80.0, channel = 1
decoded word = 59.0, channel = 2
decoded word = 160.0, channel = 3
decoded word = 81.0, channel = 4
decoded word = 209.0, channel = 6
decoded word = 10.0, channel = 8
decoded word = 255.0, channel = 10
decoded word = 29.0, channel = 11
decoded word = 46.0, channel = 12
decoded word = 190.0, channel = 13
decoded word = 37.0, channel = 14
decoded word = 89.0, channel = 17
decoded word = 54.0, channel = 18
decoded word = 13.0, channel = 20
decoded word = 14.0, channel = 21
decoded word = 166.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 56.0, channel = 29
decoded word = 139.0, channel = 30
-----
-> col = 4
decoded word = 52.0, channel = 0
decoded word = 73.0, channel = 1
decoded word = 38.0, channel = 2
decoded word = 137.0, channel = 3
decoded word = 90.0, channel = 4
decoded word = 184.0, channel = 6
decoded word = 10.0, channel = 8
decoded word = 255.0, channel = 10
decoded word = 18.0, channel = 11
decoded word = 33.0, channel = 12
decoded word = 180.0, channel = 13
decoded word = 67.0, channel = 14
decoded word = 95.0, channel = 17
decoded word = 53.0, channel = 18
decoded word = 35.0, channel = 20
decoded word = 39.0, channel = 21
decoded word = 170.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 57.0, channel = 29
decoded word = 128.0, channel = 30
-----
-> col = 5
decoded word = 50.0, channel = 0
decoded word = 75.0, channel = 1
decoded word = 61.0, channel = 2
decoded word = 134.0, channel = 3
decoded word = 67.0, channel = 4
decoded word = 204.0, channel = 6
decoded word = 255.0, channel = 10
decoded word = 24.0, channel = 11
decoded word = 65.0, channel = 12
decoded word = 176.0, channel = 13
decoded word = 61.0, channel = 14
decoded word = 74.0, channel = 17
decoded word = 64.0, channel = 18
decoded word = 31.0, channel = 20
decoded word = 17.0, channel = 21
decoded word = 173.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 54.0, channel = 29
decoded word = 132.0, channel = 30
-----
-> col = 6
decoded word = 46.0, channel = 0
decoded word = 124.0, channel = 1
decoded word = 99.0, channel = 2
decoded word = 166.0, channel = 3
decoded word = 55.0, channel = 4
decoded word = 156.0, channel = 6
decoded word = 73.0, channel = 8
decoded word = 255.0, channel = 10
decoded word = 6.0, channel = 12
decoded word = 173.0, channel = 13
decoded word = 15.0, channel = 14
decoded word = 98.0, channel = 17
decoded word = 43.0, channel = 18
decoded word = 33.0, channel = 21
decoded word = 159.0, channel = 22
decoded word = 255.0, channel = 27
decoded word = 71.0, channel = 29
decoded word = 173.0, channel = 30
-----
-> col = 7
decoded word = 58.0, channel = 2
decoded word = 148.0, channel = 3
decoded word = 84.0, channel = 4
decoded word = 136.0, channel = 6
decoded word = 4.0, channel = 7
decoded word = 255.0, channel = 10
decoded word = 133.0, channel = 11
decoded word = 141.0, channel = 12
decoded word = 23.0, channel = 13
decoded word = 163.0, channel = 14
decoded word = 138.0, channel = 18
decoded word = 58.0, channel = 19
decoded word = 255.0, channel = 20
decoded word = 137.0, channel = 22
decoded word = 237.0, channel = 23
decoded word = 255.0, channel = 27
decoded word = 36.0, channel = 29
decoded word = 145.0, channel = 30
-----
